ts|principalType|principalId|verb|resourceType|resourceId|decision|reason|source
2026-07-07 16:49:51|agent|22222222-2222-4222-8222-222222222222|skill.create.swarm|none||deny|requires lead agent|mcp
2026-07-07 16:49:51|agent|11111111-1111-4111-8111-111111111111|skill.create.swarm|none||allow||mcp
2026-07-07 16:50:05|agent|22222222-2222-4222-8222-222222222222|skill.update.any|owned|22222222-2222-4222-8222-222222222222|allow||mcp
2026-07-07 16:50:05|agent|33333333-3333-4333-8333-333333333333|skill.update.any|owned|22222222-2222-4222-8222-222222222222|deny|requires lead agent or resource owner|mcp
2026-07-07 16:50:05|agent|11111111-1111-4111-8111-111111111111|skill.update.any|owned|22222222-2222-4222-8222-222222222222|allow||mcp
2026-07-07 16:50:39|agent|33333333-3333-4333-8333-333333333333|memory.delete.any|owned|22222222-2222-4222-8222-222222222222|deny|requires memory owner, or lead agent for swarm-scoped memories|mcp
2026-07-07 16:50:39|agent|22222222-2222-4222-8222-222222222222|memory.delete.any|owned|22222222-2222-4222-8222-222222222222|allow||mcp
2026-07-07 16:50:39|agent|11111111-1111-4111-8111-111111111111|memory.delete.any|owned|22222222-2222-4222-8222-222222222222|deny|requires memory owner, or lead agent for swarm-scoped memories|mcp
2026-07-07 16:50:39|agent|11111111-1111-4111-8111-111111111111|memory.delete.any|owned|22222222-2222-4222-8222-222222222222|allow||mcp
2026-07-07 16:51:01|agent|22222222-2222-4222-8222-222222222222|kv.write.any|kv-namespace|task:agent:22222222-2222-4222-8222-222222222222|allow||mcp
2026-07-07 16:51:01|agent|22222222-2222-4222-8222-222222222222|kv.write.any|kv-namespace|task:agent:33333333-3333-4333-8333-333333333333|deny|requires lead agent or your own task:agent: namespace|mcp
2026-07-07 16:51:01|agent|11111111-1111-4111-8111-111111111111|kv.write.any|kv-namespace|task:agent:22222222-2222-4222-8222-222222222222|allow||mcp
2026-07-07 16:51:29|agent|22222222-2222-4222-8222-222222222222|kv.write.any|kv-namespace|task:agent:22222222-2222-4222-8222-222222222222|allow||http
2026-07-07 16:51:29|agent|22222222-2222-4222-8222-222222222222|kv.write.any|kv-namespace|task:agent:33333333-3333-4333-8333-333333333333|deny|requires lead agent or your own task:agent: namespace|http
2026-07-07 16:51:47|agent|33333333-3333-4333-8333-333333333333|task.cancel.any|task|470994e3-14d5-49f4-a63f-678162dd4ecf|deny|requires lead agent or task creator|mcp
2026-07-07 16:51:47|agent|22222222-2222-4222-8222-222222222222|task.cancel.any|task|7d6f07d8-249b-4f0f-a049-5418d6301c4e|allow||mcp
2026-07-07 16:51:47|agent|11111111-1111-4111-8111-111111111111|task.cancel.any|task|a802d677-3841-47ed-b084-38322e4d38d0|allow||mcp
2026-07-07 16:52:31|agent|22222222-2222-4222-8222-222222222222|script.global.write|owned||deny|requires lead agent|http
2026-07-07 16:52:31|agent|11111111-1111-4111-8111-111111111111|script.global.write|owned||allow||http
2026-07-07 16:52:33|agent|22222222-2222-4222-8222-222222222222|script.global.delete|owned||deny|requires lead agent|http
